received_at,esp32_millis,value
2026-07-01T01:17:54.539250,8407,69
2026-07-01T01:17:54.539250,8417,116
2026-07-01T01:17:54.539250,8427,73
2026-07-01T01:17:54.539250,8438,114
2026-07-01T01:17:54.539250,8448,75
2026-07-01T01:17:54.717106,10482,57
2026-07-01T01:17:54.717106,10493,128
2026-07-01T01:17:54.717106,10503,63
2026-07-01T01:17:54.717106,10513,127
2026-07-01T01:17:54.717106,10524,65
2026-07-01T01:17:54.894598,10618,81
2026-07-01T01:17:54.894598,10629,90
2026-07-01T01:17:54.894598,10640,72
2026-07-01T01:17:54.894598,10650,96
2026-07-01T01:17:54.894598,10661,57
2026-07-01T01:17:55.007633,10811,112
2026-07-01T01:17:55.007633,10822,57
2026-07-01T01:17:55.007633,10832,127
2026-07-01T01:17:55.007633,10842,62
2026-07-01T01:17:55.007633,10853,128
2026-07-01T01:17:55.115510,10908,87
2026-07-01T01:17:55.115510,10919,74
2026-07-01T01:17:55.115510,10930,96
2026-07-01T01:17:55.115510,10940,65
2026-07-01T01:17:55.115510,10951,108
2026-07-01T01:17:55.764214,11009,89
2026-07-01T01:17:55.764214,11021,58
2026-07-01T01:17:55.764214,11031,116
2026-07-01T01:17:55.764214,11041,56
2026-07-01T01:17:55.764214,11051,123
2026-07-01T01:17:55.907573,11679,72
2026-07-01T01:17:55.907573,11690,97
2026-07-01T01:17:55.907573,11700,61
2026-07-01T01:17:55.907573,11710,110
2026-07-01T01:17:55.907573,11721,55
2026-07-01T01:17:56.053208,11802,58
2026-07-01T01:17:56.053208,11812,126
2026-07-01T01:17:56.053208,11822,62
2026-07-01T01:17:56.053208,11832,125
2026-07-01T01:17:56.053208,11843,65
2026-07-01T01:17:56.138577,11944,69
2026-07-01T01:17:56.138577,11955,116
2026-07-01T01:17:56.138577,11965,74
2026-07-01T01:17:56.138577,11976,111
2026-07-01T01:17:56.138577,11986,77
2026-07-01T01:17:56.540018,12034,123
2026-07-01T01:17:56.540018,12044,68
2026-07-01T01:17:56.540018,12055,117
2026-07-01T01:17:56.540018,12065,72
2026-07-01T01:17:56.540018,12075,114
2026-07-01T01:17:57.261849,12522,64
2026-07-01T01:17:57.261849,12533,123
2026-07-01T01:17:57.261849,12543,67
2026-07-01T01:17:57.261849,12553,123
2026-07-01T01:17:57.261849,12563,68
2026-07-01T01:17:59.522667,13739,52
2026-07-01T01:17:59.522667,13750,125
2026-07-01T01:17:59.522667,13760,60
2026-07-01T01:17:59.522667,13770,127
2026-07-01T01:17:59.522667,13780,63
2026-07-01T01:17:59.885680,15477,61
2026-07-01T01:17:59.885680,15487,114
2026-07-01T01:17:59.885680,15497,53
2026-07-01T01:17:59.885680,15507,121
2026-07-01T01:17:59.885680,15518,56
2026-07-01T01:18:00.246061,15868,126
2026-07-01T01:18:00.246061,15879,63
2026-07-01T01:18:00.246061,15889,124
2026-07-01T01:18:00.246061,15899,65
2026-07-01T01:18:00.246061,15909,124
2026-07-01T01:18:00.398547,16143,80
2026-07-01T01:18:00.398547,16153,85
2026-07-01T01:18:00.398547,16164,88
2026-07-01T01:18:00.398547,16175,74
2026-07-01T01:18:00.398547,16185,94
2026-07-01T01:18:00.591180,16348,127
2026-07-01T01:18:00.591180,16359,65
2026-07-01T01:18:00.591180,16369,124
2026-07-01T01:18:00.591180,16379,68
2026-07-01T01:18:00.591180,16390,123
2026-07-01T01:18:00.671084,16485,93
2026-07-01T01:18:00.671084,16496,52
2026-07-01T01:18:00.671084,16506,117
2026-07-01T01:18:00.671084,16516,57
2026-07-01T01:18:00.671084,16527,124
2026-07-01T01:18:00.760973,16563,82
2026-07-01T01:18:00.760973,16573,82
2026-07-01T01:18:00.760973,16583,88
2026-07-01T01:18:00.760973,16594,75
2026-07-01T01:18:00.760973,16604,93
2026-07-01T01:18:00.933238,16698,64
2026-07-01T01:18:00.933238,16709,124
2026-07-01T01:18:00.933238,16719,67
2026-07-01T01:18:00.933238,16730,122
2026-07-01T01:18:00.933238,16740,69
2026-07-01T01:18:01.080127,16831,116
2026-07-01T01:18:01.080127,16841,76
2026-07-01T01:18:01.080127,16851,106
2026-07-01T01:18:01.080127,16862,80
2026-07-01T01:18:01.080127,16872,94
2026-07-01T01:18:01.273306,17060,73
2026-07-01T01:18:01.273306,17071,110
2026-07-01T01:18:01.273306,17081,79
2026-07-01T01:18:01.273306,17092,90
2026-07-01T01:18:01.273306,17102,85
2026-07-01T01:18:01.418371,17180,70
2026-07-01T01:18:01.418371,17190,114
2026-07-01T01:18:01.418371,17201,77
2026-07-01T01:18:01.418371,17211,103
2026-07-01T01:18:01.418371,17221,80
2026-07-01T01:18:01.536344,17321,78
2026-07-01T01:18:01.536344,17332,84
2026-07-01T01:18:01.536344,17343,88
